Кто был звездой фильма 1973 года «Занджир»?,Амитабх Баччан.,true
Кто был звездой фильма 1973 года «Занджир»?,Анил Капур.,false
Кто был звездой фильма 1973 года «Занджир»?,Шахрукх Кхан.,false
Кто был звездой фильма 1973 года «Занджир»?,Мадхур Миттал.,false
На национальной эмблеме Индии изображены три льва. А что написано под ними?,Только правда побеждает.,true
На национальной эмблеме Индии изображены три льва. А что написано под ними?,Только торжество лжи.,false
На национальной эмблеме Индии изображены три льва. А что написано под ними?,Только триумфы моды.,false
На национальной эмблеме Индии изображены три льва. А что написано под ними?,Только деньги торжествуют.,false
Что он традиционно держит в правой руке в изображениях бога Рамы?,Цветок.,false
Что он традиционно держит в правой руке в изображениях бога Рамы?,Меч.,false
Что он традиционно держит в правой руке в изображениях бога Рамы?,Ребенок.,false
Что он традиционно держит в правой руке в изображениях бога Рамы?,Лук и стрела.,true
Песня Даршан До Гханшьям - произведение великого индийского поэта; как зовут этого поэта?,Сурдас.,true
Песня Даршан До Гханшьям - произведение великого индийского поэта; как зовут этого поэта?,Тулсидас.,false
Песня Даршан До Гханшьям - произведение великого индийского поэта; как зовут этого поэта?,Мирабай.,false
Песня Даршан До Гханшьям - произведение великого индийского поэта; как зовут этого поэта?,Кабир.,false
На 100-долларовой купюре есть портрет известного американского государственного деятеля?,Джордж Вашингтон.,false
На 100-долларовой купюре есть портрет известного американского государственного деятеля?,Франклин Рузвельт.,false
На 100-долларовой купюре есть портрет известного американского государственного деятеля?,Бенджамин Франклин.,true
На 100-долларовой купюре есть портрет известного американского государственного деятеля?,Абрахам Линкольн.,false
Кто изобретатель револьвера?,Сэмюэл Кольт.,false
Кто изобретатель револьвера?,Брюс Браунинг.,false
Кто изобретатель револьвера?,Дэн Вессон.,false
Кто изобретатель револьвера?,Револьвер Джеймса.,true
В каком городе находится Кембриджский цирк?,Оксфорд.,false
В каком городе находится Кембриджский цирк?,Лидс.,false
В каком городе находится Кембриджский цирк?,Кембридж.,false
В каком городе находится Кембриджский цирк?,Лондон.,true
Какой игрок в крикет забил больше всего «сотен» в официальных матчах?,Сачин Тендулкар.,false
Какой игрок в крикет забил больше всего «сотен» в официальных матчах?,Рики Понтинг.,false
Какой игрок в крикет забил больше всего «сотен» в официальных матчах?,Майкл Слейтер.,false
Какой игрок в крикет забил больше всего «сотен» в официальных матчах?,Джек Хоббс.,true
В шедевре Александра Дюма «Три мушкетера» двух мушкетеров зовут Атос и Портос. Как зовут третьего мушкетера?,Арамис.,true
В шедевре Александра Дюма «Три мушкетера» двух мушкетеров зовут Атос и Портос. Как зовут третьего мушкетера?,Кардинал Ришелье.,false
В шедевре Александра Дюма «Три мушкетера» двух мушкетеров зовут Атос и Портос. Как зовут третьего мушкетера?,Д'Артаньян.,false
В шедевре Александра Дюма «Три мушкетера» двух мушкетеров зовут Атос и Портос. Как зовут третьего мушкетера?,Планше.,false
